Sr. no.,Tweets,Scores,Category
1844,thanksampfor paicipating in farakpadtahai campaign promoting ridesharing to reduce congestion amp pollution,-0.1,Negative
1845,hey akshika you have won couple tickets to the movie raabta dm us your email id and phone number raabtaonolaplay,0.091,Positive
1846,please dm us your email id and phone number,0.25,Positive
1847,"sunday or friday night or noon
always pay flat fares on share rides
buy your sharepass at just 1
farakpadtahai 
",0.071,Positive
1848,with share pass pay less and save more on every olashare ride now buy your share pass at just 1farakpadtahai,0,Neutral
1849,mumbai has the most people with wanderlust according to this olaoutstation survey,0,Neutral
1850,we agree and apologize for allowing it to happen well ensure this is removed immediately,0.12,Positive
1851,"travel to the office on flat fares
hurry up and buy share pass at just re1 limited period offer olashare se farakpadtahai",-0.071,Negative
1852,now you can also buy your share pass at 1 right from the web from your mobile or pc check it outfarakpadtahai,0,Neutral
1853,weve reached the road to stardom 100k followers amp still counting thanks twitteratis for the constant suppo,0.083,Positive
1854,delhi what is the worst place to get stuck in traffic farakpadtahai,-0.29,Negative
1855,"“100k followers and counting” thanks for all the follows stay awesome 

",0.33,Positive
1856,thanks firoz,0.5,Positive
1857,weve got something awesome come your way tomorrow staytuned,0.25,Positive
1858,wednesdaywisdom for re1 getanshare pass woh rs 199 amp your re 1 will be donated to our work farakpadtahai,0.11,Positive
1859,on an average we spend 46 years of our life in traffic now you have the power to take back oneextrahour by ridesharing farakpadtahai,0.083,Positive
1860,"what would do if you have oneextrahour in your day citizen ecodrive watches up for grabs details 
farakpadtahai",0,Neutral
1861,most popular answer oneextrahour farakpadtahai,0.25,Positive
1862,whyoneextrahour,0,Neutral
1863,amen to that farakpadtahai,0.5,Positive
1864,branding india’s first electric car fleet by,-0.17,Negative
1865,noidapolice thank you for suppoingworldenvironmentday you guys helped make a difference farakpadtahai,0.25,Positive
1866,were sure it is oneextrahour farakpadtahai,0,Neutral
1867,a great way to spend oneextrahour farakpadtahai,0.2,Positive
1868,bengaluru travel at a flat fare on your olashare rides with share pass now buy yours at just 1farakpadtahai,0,Neutral
1869,great initiative for worldenvironmentdayridesharing helps decongest roads and we hope it becomes a way of life farakpadtahai,0.27,Positive
1870,thats why we encourage everyone to rideshare take olashare isse farakpadtahai,0.12,Positive
1871,thats why we encourage everyone to rideshare farakpadtahai,0.2,Positive
1872,great job aumkar youve taken the first step to reduce traffic congestion in your city farakpadtahai,0,Neutral
1873,delhi buy your share pass at just 1 and travel at flat 50 upto 8km on your olashare ridesfarakpadtahai,0,Neutral
1874,mumbai now buy your share pass at just 1 and travel at flat 60 upto 8km on your olashare ridesfarakpadtahai,0,Neutral
1875,chennai buy your share pass at just 1 and travel at flat 50 upto 8km on your olashare ridesfarakpadtahai,0,Neutral
1876,kolkata buy your share pass at just 1 and travel at flat 50 upto 8km on your olashare ridesfarakpadtahai,0,Neutral
1877,hyderabad now buy your share pass at just 1 amp travel at flat 60 upto 8km on your olashare ridesfarakpadtahai,0,Neutral
1878,travel with no peak pricing during rush hour with share pass buy yours at just 1 on the app or webfarakpadtahai,0,Neutral
1879,pune now buy your share pass at just 1 and travel at flat 50 upto 8km on your olashare ridesfarakpadtahai,0,Neutral
1880,watch exclusive interviews and behind the scenes of raabta only on olaplay raabtaonolaplay,-0.12,Negative
1881,neha you make a valid point and well ensure it is strictly implemented across all cabs,0,Neutral
1882,definitely leena,0,Neutral
1883,last 2 days to get your share pass at 1 your olashare rides on flat fares is just a click awayfarakpadtahai,0,Neutral
1884,have you got your share pass yet last day to buy your share pass at just 1farakpadtahai,-0.091,Negative
1885,hi please refer to the following link for more information on charges related to outstation bookings,0.11,Positive
1886,last chance to grab your share pass at 1 ask your friends to get theirs too offer endsmidnightfarakpadtahai,0,Neutral
1887,"thanks for sharing the amazing ways you would spend the oneextrahour 
well announce the winners in a few hours staytuned farakpadtahai",0.33,Positive
1888,the hard working driver paners of pune have won the opl they are now the proud owners of maruti ciaz congrats opl,0.14,Positive
1889,share your ride farakpadtahai,0,Neutral
1890,incredibly inspired by the dedication of lacs of ola driverpaners well doneopl was indeed a unique initiativemore power to u,0.42,Positive
1891,congratsampyouve won yourself a citizen ecodrive watch oneextrahour pls check your dm farakpadtahai,0.11,Positive
1892,bengaluru book an olashare to travel anywhere in the city at just 40 for 5km between 11am amp 5pm farakpadtahai,0.11,Positive
1893,great to know that you had an amazing musicfilled ride wish you a wonderful day ahead nayani olaplay,0.27,Positive
1894,ola play enteainment is its truecalling letsplay,0.2,Positive
1895,delhi say aye amp win free couple passes to the musical night withat farzi cafe cpolaplay,0.071,Positive
1896,on bhai have a safe ride,0.33,Positive
1897,congrats firoz youve won yourself a couple pass to the music night withplease check your dm,0,Neutral
1898,congrats ruchi youve won yourself a couple pass to the music night withplease check your dm,0,Neutral
1899,"now catch our music videos onplay 
book a prime play today to check our latest track khudi amp enjoy the ride
tlt ola",0.11,Positive
1900,humbling to meet and felicitate the winners of the first ever opl in pune associating withhas been a thrilling experience,0.33,Positive
1901,"facepalmin our defense it is friday 
on a serious note this is a quite a slip up were going to look into how this happened",-0.22,Negative
1902,"share an offbeat destination in india amp stand a chance to win weekend package stay at treebo hotels indiaoffbeat
",0.071,Positive
1903,"introducing happy pricing now enjoy lower fares than usual during nonpeak hours happypricingonola
learn more",0.17,Positive
1904,"to those who say very little but always go the distance happy fathers day 
fathersday",0.12,Positive
1905,"this father’s day a trip becomes a journey in itself

watch rearview our new sho film now 

",0,Neutral
1906,"today we celebrate the journey of a father 
heres to the amazing fathers and dadstobe a very happy fathersday
",0.3,Positive
1907,"dedicated stand for ola cabs at pune railway station
",0.14,Positive
1908,share an offbeat location in india and stand a chance to win ola outstation vouchers indiaoffbeat,0.091,Positive
1909,chennai introducing greentuesdays today book an olashare to travel anywhere in the cityjust 40 for 5km,0,Neutral
1910,congrats prathamesh you have won the indiaoffbeat contest dm us your email id and phone number,0.12,Positive
1911,congrats you have won the indiaoffbeat contest dm us your email id and phone number,0.14,Positive
1912,youve definitely won our hea respect givewaygivelife,0.33,Positive
1913,"we have panered with andhra pradesh government to boost transpoation services in the state 
 andsigning the mou",0.2,Positive
1914,flaggedoff the first set of cobrandedampunder an exclusive panership thatll boost tourism amp transpoation,0,Neutral
1915,music makes everything better worldmusicday olaplay letsplay,0.14,Positive
1916,and it is true a good ac bus with an assured seat is all we need in indiaamp shuttl have brought back the charm of bus rides,0.23,Positive
1917,olaplay,0,Neutral
1918,this is definitely not acceptable please accept our sincere apologies for the mishap please dm us the booking id so that the 12,0.22,Positive
1919,driver paner can be suspended and our safety team can connect with you 22,0,Neutral
1920,"indian contingent is playing at the world championship of ultimate frisbee in franceamp show your suppo 
moveourathletes",0.091,Positive
1921,this is definitely not the ola experience we’d like you to have please dm us your booking id and we’ll look into this immediately,0.22,Positive
1922,this eid let us drive you to your loved ones celebrate this joyous day with friends family and ghar ki biryani,0.33,Positive
1923,"your ola app is about to transform
stay tuned for more 
transformersonola transformers
",0,Neutral
1924,thanksfor helping us in recognizing amp rewarding our paner mr prashanthas act of kindness everylifematters humansofola,0.27,Positive
1925,how beautiful tks4 rewarding amp recognizing him may his deed set an example happy 4 him amp congrats 2 u 4 creating this story,0.21,Positive
1926,"prashantha kundar stopped his cab to save a dying puppy amp is a hero in an unkind world 
",0,Neutral
1927,"the transformers have come to ola 
roll out the revolution update your ola app now
transformersonola",0.1,Positive
1928,"the transformers have come to ola 
roll out the revolution 
update your ola app now
transformersonola
",0.1,Positive
1929,dont we all transformersonola,0,Neutral
1930,going to ride in optimus prime for meetings todaytransformersonola,0,Neutral
1931,did you catch it silkboard farakpadtahai blr decongestbengaluru olashare,0,Neutral
1932,check olamicro on the app transformersonola,0,Neutral
1933,calling all autobots transformersonola,0,Neutral
1934,transformersonola,0,Neutral
1935,youre most welcometransformers transformersonola,0,Neutral
1936,today i updated my ola app to book a cab for my meeting amp was surprised to see the transformers cars it was amazing transformersonola,0.071,Positive
1937,thanks vijaytransformersonola,0.5,Positive
1938,its here transformeronola,0,Neutral
1939,"hey all you transformers fans transformers5 tickets are up for grabs 
staytuned transformersonola",0.12,Positive
1940,autobots roll outtransformersonola,0,Neutral
1941,"capture bumblebee within the outline and share it with us transformersonola
tampc",0,Neutral
1942,contest ale transformers5 tickets up for grabstransformersonola,0,Neutral
1943,just a regular morning at silk board junction bengaluru creating some buzz about the benefits of olashare farakpadtahai,0.083,Positive
1944,introducing olaseniors a special program for senior citizens where they can book discounted ola rides register,0,Neutral
1945,"introducing bengalurudetours in association with
plan a fun weekend with bengalurudetours today",0.12,Positive
1946,do you know anyone who could benefit from our olaseniors initiative help enroll them in the program here,0.25,Positive
1947,hey mayank great to know that you had a wonderful experience may you get awesome copassengers in all your olashare rides,0.25,Positive
1948,pune do you know anyone who would benefit from the olaseniors initiative you can help register them here,0.22,Positive
1949,does it well have this checked thanks for pointing it out,0.5,Positive
1950,what a beautiful observation,0.5,Positive
1951,never a dull moment in olashare,0,Neutral
1952,"now you can book your ola ride right from your browser on both mobile amp desktop 
visitto book your cab olaonweb",0.071,Positive
1953,pay on your way to a pay with olaplay fridayfeeling,0,Neutral
1954,"wifi
what else you need 
extremelyhappy with ola service 
 olacabs",0,Neutral
1955,south western railwaybengaluru divisioninauguration of the ola facility for passengers,0,Neutral
1956,olalux kijiye phir samajhiye luxury kya cheez hai,0.12,Positive
1957,bengaluru book your ola from the dedicated olazones now in 12 railway stations across the city,0.1,Positive
1958,mumbai do you know anyone who would benefit from the olaseniors initiative you can help register them here,0.22,Positive
1959,nagpur do you know anyone who would benefit from the olaseniors initiative you could help them to register here,0.25,Positive
1960,ahmedabad did you know that your mom or dad could travel at a lower cost enroll them to the olaseniors initiative,-0.1,Negative
1961,hey came across your insta story feedback duly notedkeep enjoying your prime play rides,0.17,Positive
1962,olaplayso you can enjoy your safar and not let the traffic make your suffer,0,Neutral
1963,newsfromniti andhra pradesh joins hands withwill create 25000 jobs by 2022,0,Neutral
1964,have brought a phenomenal upgrade olaexpressshare is the cheapest ride in the entire country super stuff ola,0.36,Positive
1965,tried ola outstation for the first time car arrived in 20 great experience overall wifi throughout the trip ola gt uber,0.13,Positive
1966,sometimes its good to be the third wheel sharetales,0.2,Positive
1967,"
 
 
 
 
 
 
book an olarentals and keep the cab with you",0,Neutral
1968,thank u folks had left my home keys in myi took now but good driver came back to return them to me now,0.14,Positive
1969,workfromola is a legit status,0,Neutral
1970,"have you ever met someone in an olashare ride that you decided to stay in touch with 
tell us your story",0,Neutral
1971,intersting tell us more,0,Neutral
1972,its neither considered staying in touch nor is it considered cool notcool,0.14,Positive
1973,have you ever,0,Neutral
1974,got an olashare story,0,Neutral
1975,you could tweet about it or tell us over dm,0,Neutral
1976,finally the secret location is revealed for my indiaoffbeat ride on an olaoutstation heading to ooty thanks guys at,0,Neutral
1977,"share your best monsoon travel pics with us using monsoonswithola amp olaoutstation and win
learn more",0.27,Positive
1978,master class withformer chief data scientist of the usa datascientist bigdata,0.11,Positive
1979,this summer winter is coming amp its bringing your favourite characters what song would you use to describe them lettheplaybegin olaplay,0.17,Positive
1980,"bengaluru join ola masterclass withformer us chief data scientist 
register here",0,Neutral
1981,thedesign team shares what went behind the design amp conception of olaplay version 1,0,Neutral
1982,this looks like a perfect entry for monsoonswithola head to instagram to paicipate,0.25,Positive
1983,"when it rains ola auto is the best source to travel sho distances 
very economical 
hyderabadrains 

thanks",0.27,Positive
1984,this is a true story,0,Neutral
1985,waiting to hear it,0,Neutral
1986,bade bade desho main aisi choti choti baatein hoti rehti hai,0,Neutral
1987,outstanding job done done today i travelled and my ride was driven by a ladyamazing feeling true women empowerment resepect,0.14,Positive
1988,why do you take ola share farakpadtahai,0,Neutral
1989,"heres the second winner of monsoonswithola she has olaoutstation vouchers 
have you posted your monsoon travel photos yet",0.091,Positive
1990,thank youleft my charger in a cab and yadav the driver couriered it to me the next day at his own expense sotouched,0,Neutral
1991,its easy to build hammers when everything is a nailolamasterclass,0.2,Positive
1992,it was a privellege to travel in a cab where lady is drivinghats off fabulous driving skills great initiative by ola,0.27,Positive
1993,youre the driving force behind a billion dreams no matter what the results ladies ruled lords today way to go indveng moveourwomen,-0.067,Negative
1994,"multiple things to do or many places to go 
book olarentals and leave your travel woes to us",-0.11,Negative
1995,"the mother of dragons what do you think is her favourite track 
lettheplaybegin olaplay",0,Neutral
1996,what an amazing experience to get a lost iphone7 backdespair to delight thanks imran ofand findiphone onlove you,0.17,Positive
1997,bengaluru chennai and pune now book your olaauto at just 29 for 4km for a hasslefree and cashless auto experience,0.091,Positive
1998,ola share pass for sho distances in here check your app for more farakpadtahai,-0.12,Negative
1999,"make the most of monsoon escapades with olaoutstation 
celebrate monsoonswithola
",0,Neutral
2000,that is a sucks we will see what can be done about it pleasedontstopthemusic olaplay,0,Neutral
2001,howwent from hating math to making datascientist 21st century’s sexiest jobdatascience,-0.12,Negative
2002,"lets settle this once and for all 
the city with better roads is",0.2,Positive
2003,super thrilled to announce our panership with zomato you can soon order viaon ola play amp also pay for orders with ola money,0.29,Positive
2004,1st experience ofrental was niceboon fr ppl like me who love long drives but dont drive spoilermumbai traffic,0.083,Positive
2005,next time try olaplay on rentals traffic will never be the same again,0.25,Positive
2006,meet mrsyed our driver paner from mysore who returned valuables left in his auto keep up the good work humansofola,0.23,Positive
2007,sawferrying people out of water logged areas on bikes last thursday near vandemataram township kudos to them,0.083,Positive
2008,"stop putting off your vacation plans
the season to travel is here
letsmakeithappen with olaoutstation",0.12,Positive
2009,"turn your monday morning blues to hues 
listen to the mondaymotivation playlist on your way to work in an olaplay ride
letsplay",0.077,Positive
2010,"gear up for the month of long weekends 
this august headout with olaoutstation amp make the holiday season count 
letsmakeithappen",0,Neutral
2011,humansofola,0,Neutral
2012,when youre the only one with wifi on the road spoilerking olaprimewifi,0,Neutral
2013,have a great trip,0.5,Positive
2014,"what is the best road trip route in india according to you
letsmakeithappen olaoutstation",0.12,Positive
2015,hi sonal we would like to speak with you about your ola rentals experience can we take this conversation on dm thanks,0.2,Positive
2016,could you please elaborate your concern your booking id will help us in resolving the issue for you,0.12,Positive
2017,meet the heroesofshare those who are making a difference in your life via ridesharing olashare farakpadtahai,0,Neutral
2018,hi rushikesh we would like to speak with you about your ola outstation experience can we take this conversation on dm thanks,0.2,Positive
2019,twitter users have spoken delhi wins the twitter poll for the best roads in the country with 44 votes,0.18,Positive
2020,thanks for the shoutout gaurav stay awesome,0.4,Positive
2021,"meet bengalurus heroesofshare helping reduce traffic amp pollution in the city through ridesharing farakpadtahai
",0,Neutral
2022,"the heroesofshare from delhi who helped move the city in the right direction through ridesharing farakpadtahai 
",0.22,Positive
2023,mumbai here are your heroesofshare ridesharing their way to reduce traffic amp pollution in mumbai farakpadtahai,-0.1,Negative
2024,life never fails to surprise and delight thanks for sharing this,0.14,Positive
2025,"here are a few ideas from twitter for a nice road trip this long weekend 
so where are you heading to 
letsmakeithappen olaoutstation",0,Neutral
2026,friendship blooms in the most unexpected places this friendshipday were bringing to light a few such stories comingsoon farakpadtahai,0,Neutral
2027,celebrate kishorekumar bihday with olaplay and enjoy a hand picked list of his greatest hits,0.3,Positive
2028,"no more roadtrips missed 
letsmakeithappen with olaoutstation",-0.25,Negative
2029,farakpadtahai,0,Neutral
2030,glad to know that we have taken note of your valuable feedback and the same has been shared with the driver paner,0.22,Positive
2031,"this friendshipday share a ride amp spark a connection
now get an olashare pass at just 1
farakpadtahai",0,Neutral
2032,perfect sunday,0.5,Positive
2033,"staing this friendshipday get an olashare pass at just 1 until august 11 
buy your share pass
farakpadtahai",-0.091,Negative
2034,"this friendshipday share a ride amp spark a connection
now get an olashare pass at just 1
farakpadtahai",0,Neutral
2035,we stayed at the beautiful valley view reso for the last 2 days the staff here is amazing indiaoffbeat olaoutstation holidayiq,0.17,Positive
2036,"celebrating the cherished memories and the sweetest bonds
we wish you a very happy rakshabandhan",0.38,Positive
2037,"this friendship week share a ride amp spark a connection
now get an olashare pass at just 1
farakpadtahai",0,Neutral
2038,"have you ever sparked a connection in an olashare ride 
let us know in the replies 
farakpadtahai",0,Neutral
2039,looks like a fun ride,0.5,Positive
2040,dont be so shaken youll always find someone to bond with in olashare shareaconnection,0,Neutral
2041,sharing a ride with mans best friend yet another benefit of taking an olashare shareaconnection,0.27,Positive
2042,ride safe and stay safe giftahelmet,0.4,Positive
2043,"take an olashare amp spark a connection 
what more now get your sharepass at just 1
shareaconnection",0.1,Positive
2044,"you could shareaconnection on your next olashare ride
and this week get your sharepass at just 1",0.12,Positive
2045,joseph singing some nice classics from the radioperfect morning drive,0.29,Positive
2046,we agreeolaplay,0,Neutral
2047,thanks for the shoutout it means a lot to us,0,Neutral
2048,olaplay,0,Neutral
2049,"great discounts on olaoutstation rides and homestays from 
flashdeals sta at 1 pm today 
visit",0.11,Positive
2050,"stories that sparked a connection in an olashare via
shareaconnection",0,Neutral
2051,"great discounts on olaoutstation rides and homestays from 
flashdeals ends in 20 mins visit now",0.1,Positive
2052,"pay flat fares on all your olashare rides with share pass
now get your share pass at just 1
offer till august 11th
shareaconnection",-0.062,Negative
2053,palak kapadia from mumbai writes a collaboration140on shareaconnection,0,Neutral
2054,"kahik krishnan from mumbai writes a collaboration140on shareaconnection

",0,Neutral
2055,shareaconnection,0,Neutral
2056,tapoja roy from kolkata writes a collaboration140on shareaconnection,0,Neutral
2057,hehe thanks amanletsplay olaplay,0.25,Positive
2058,"so whats your olashare story
shareaconnection",0,Neutral
2059,heres why you should take an olaoutstation for your trip during this long weekend letsmakeithappen,-0.14,Negative
2060,disclaimer please do not try this in an olashare,0,Neutral
2061,"long weekends calling its time to head out 
letsmakeithappen with olaoutstation",0,Neutral
2062,"how not to spend your weekends bingewatching 
choose a place and leave in an olaoutstation 
letsmakeithappen",0,Neutral
2063,olaoutstation,0,Neutral
2064,as per our record you have the ola share pass of rs50 for flat 8 kms for the extra kms travelled you will be charged as per the 14,0,Neutral
2065,micro fare and peak time or dynamic charges may be applied to the booking please be advised that if there are multiple routes 24,0.23,Positive
2066,available to the destination the app automatically picks up the fastest one and the prepaid amount is calculated accordingly the 34,0.18,Positive
2067,fare for an ola share booking is always shown upfront post which the booking is confirmed 44,0,Neutral
2068,ola encourages users to share a ride with stories of real life connections made in a shared cab,0.083,Positive
2069,"vouchers fromup for grabs staytuned 
 amp spread the word
letsmakeithappen with olaoutstation",0,Neutral
2070,"q how can you win a 2n3d voucher from 
aamp tag your travel buddies using olaoutstation
letsmakeithappen
contestale",0.18,Positive
2071,contest aleolaoutstation letsmakeithappen,0,Neutral
2072,congrats tanya youre one of the lucky winners of letsmakeithappen with olaoutstation contest please dm your phone amp email,0.23,Positive
2073,congrats batmanyoure one of the lucky winners of letsmakeithappen with olaoutstation contest please dm your phone amp email,0.25,Positive
2074,your wish has come true congrats tejan please dm your email id and phone number,0.22,Positive
2075,congrats pinky youre one of the lucky winners of letsmakeithappen with olaoutstation contest please dm your phone no amp email,0.23,Positive
2076,congrats youre one of the lucky winners of letsmakeithappen with olaoutstation contest please dm your phone no amp email,0.25,Positive
2077,"make this independenceday more special take an ola share amp you may get to ride with an olasainik
tweet your story with olasalutessainik",0,Neutral
2078,you are most welcome sumukhi get well soon,0.4,Positive
2079,that does not sound right please drop us a dm with the booking id amp we’ll look into this immediately you may reach us at 3355 3355 12,0.27,Positive
2080,prefix the city code for fuher assistance 22,0,Neutral
2081,a very happy independence day to all independencedayindia,0.25,Positive
2082,"this independencedayindia lets pledge to make india free from traffic congestion amp pollution
get your olashare pass at 1 farakpadtahai",-0.14,Negative
2083,we suppo organdonation head over toand donatetheo,0,Neutral
2084,hey rahul you are welcome to not share with ladies were sure they wont miss you,0,Neutral
2085,ask we shall try and help,0.25,Positive
2086,"may the new year bring much happiness and prosperity in your lives 
navroz mubarak 
parsinewyear",0.27,Positive
2087,"ready to fight traffic amp pollution in your city with olashare
now get your share pass at just 1
farakpadtahai",0,Neutral
2088,gurugram were happy to paner withgurgaon to facilitate seamless last mile connectivity,0.33,Positive
2089,the feeling is mutual,0,Neutral
2090,proud to be panering withfor last mile connectivity,0.17,Positive
2091,“the environment congestion in our cities pollution these are things that warrant real interest farakpadtahai,-0.11,Negative
2092,team helping its customers with free umbrellas outside blr airpo win,0.22,Positive
2093,if you have heard this statement more than once farakpadtahai,0,Neutral
2094,thanks for the shoutout farakpadtahai,0.33,Positive
2095,"super lgbt friendlyadwe need many more of these from corporate india till then 2 thumbs up ola 
",0.1,Positive
2096,delhi were celebrating got week want to win official got merchandise fromlearn more,0.1,Positive
2097,delhi gurugram,0,Neutral
2098,discover olaoutstation on google maps book your oneway outstation ride when you’re checking out intercity routes on,0,Neutral
2099,yes indeed amit you can now book your olaoutstation ride right from inside,0.1,Positive
2100,"thanks for the shout out and all the love 
wish you an awesome week ahead",0.43,Positive
2101,how about a free ride,0.5,Positive
2102,"of course consider this as our gift to them for the long weekend
also wed be more than happy to bring them back too",0.1,Positive
2103,thanks for the kind words it means a lot to us,0.2,Positive
2104,"so will we 
please ask your friends to book an olaoutstation using the ride later option and share their crn amp well get it done",0.31,Positive
2105,thanks jeroz weve dmed you the details we wish your friends an awesome trip this weekend,0.3,Positive
2106,takes a bow,0,Neutral
2107,hyderabad paicipate in the flash sale4pm for a chance to win an exclusive vip darshan at khaiabad ganesh open your ola app for more,0.071,Positive
2108,no worries jeroz as mentioned on the call weve sent you the updated details via dm,-0.11,Negative
2109,"were excited to know that we were able to make your weekend memorable 
stay awesome guysolaoutstation",0.33,Positive
2110,thanks for the kind words ananth,0.5,Positive
2111,thanks for all the love usha,0.67,Positive
2112,thanks for the shout out buddy,0.33,Positive
2113,passes yes however the lasses are upto you maam,-0.17,Negative
2114,"nice try
however you can use travel300 while booking your olaoutstation ride amp get 300 off on your ride",0.17,Positive
2115,hey praveen why dont you book an olaoutstation this weekend amp see for yourself were sure youd love the experience,0.083,Positive
2116,thank you meeth that means a lot to us,0,Neutral
2117,humansofola,0,Neutral
2118,thanks for the shout out hardik,0.33,Positive
2119,we have resumed our services in chandigarh panchkula and mohali thank you for your suppo and patience stay safe,0.3,Positive
2120,stay safe disha mumbairains,0.25,Positive
2121,free olashuttle rides available at bhayender and powai in mumbai look out for the ola crew on ground to help you stay safe mumbairains,0.27,Positive
2122,mumbai were running free shuttle services to get you safely to your destination from these locationsmumbairains,0.22,Positive
2123,mumbai weve suspended peak pricing amp olashare rides are free today share your rides amp help everyone get home safe,0.17,Positive
2124,hi lalit theres no code required,0,Neutral
2125,heres the route map of the olashuttle services,0,Neutral
2126,of course prabhat were trying increase cab availability to ensure that more people are able to get to back home safely,0.15,Positive
2127,a shout out to mr santosh choudhary who got us home safely amidst the chaos of mumbairainsthank you sir thankfulthursday,0,Neutral
2128,use traffic jams to your advantage now watch your favorite tv shows breaking news and more live on olaplay with,0.17,Positive
2129,i felt so thankful olaoutstation for helping us to get free ridesthe driver is the best kind also its been so smooth rides,0.46,Positive
2130,welcome to the primelife,0.5,Positive
2131,"ola presentsget ready for the most happening pay of the year roadtoultrawithola
",0.14,Positive
2132,helloyour driver amod came back long way to return my mobile phone wish i could give him 10 stars,-0.077,Negative
2133,"complete the phrase 
 
on the backseat of my ola amp win free passes roadtoultrawithola
",0.11,Positive
2134,"mumbai delhi free passes to uindia and a lot more up for grabs 
share your entry to roadtoultrawithola now",0,Neutral
2135,"proud to be panered with mr sikander khan who had helped a fellow mumbaikar reach safety during the mumbairains
humansofola",0.18,Positive
2136,to the guides in our lives happy teachersday,0.5,Positive
2137,"happy bihday shubham
looks like you need an olarentals 
use code olarent20 while making your booking 
have an awesome bihday",0.29,Positive
2138,we are happy to paner with the punjab government to improve mobility ecosystem amp boost entrepreneurship in the state,0.36,Positive
2139,congrats deepak you have won passes to prepay of road to ultra dm us your full name email id and phone number,0,Neutral
2140,couldnt agree more what say farakpadtahai,0,Neutral
2141,what aride from sta up to the main category of awards well donekeep setting new benchmarks,0.2,Positive
2142,super kicked about the chainsmokers gig tomorrow lookout for some fun stuff as i take overinstagram handle roadtoultrawithola,0.17,Positive
2143,see you tomorrow mumbairoadtoultrawithola remember to leave your car at home and take a cab to ultra peekematchala,0,Neutral
2144,see you there varun roadtoultrawithola roadtoultra,0,Neutral
2145,word wifionola olaauto,0,Neutral
2146,glad to hear tell us more about your experience humansofola,0.2,Positive
2147,humansofola,0,Neutral
2148,were super excited about this are you following us on instagramyet roadtoultrawithola chainsmokers,0.33,Positive
2149,ravers are walking in soonwill be packed this is going to be one hell of a nightroadtoultrawithola,-0.14,Negative
2150,"come join us on instagram for all the fun roadtoultrawithola
 
peekematchala",0.33,Positive
2151,this is definitely not acceptable amp we regret the unpleasant experience the complaint has been repoed against the paner involved 12,-0.3,Negative
2152,so that necessary action is taken to minimise any such instances in future we strive to serve you better 22,0.22,Positive
2153,"great news for all of you at the pay roadtoultrawithola 
free olashuttle available from your venuemumbai",0.38,Positive
2154,"your commute just got better now getvouchers with your cab rides 
to know more visit",0.2,Positive
2155,hi shubham please dm us your details for sending the passes roadtoultrawithola,0,Neutral
2156,catch behind the scenes withat roadtoultrawithola mumbai exclusively on our instagram stories,-0.11,Negative
2157,the fun is not over people join us as we take roadtoultrawithola to delhi tonight dilliwallas are you excited,0.22,Positive
2158,oh what a night it was thank you so muchfor the vip experience and making me meetroadtoultrawithola,0.14,Positive
2159,weve joined hands withto suppo stabilizing amp revitalizing of our rivers heres how you can help,0.25,Positive
2160,catch us live on instagramfor all roadtoultrawithola action,0.2,Positive
2161,when yourenteainment looks this inviting idontwatchtvgt,0,Neutral
2162,bengaluru heading to theevent at palace grounds now take an olashare to there amp back at just 49 for 6 km farakpadtahai,0.083,Positive
2163,wed have love to if we were a dating app,0.25,Positive
2164,prime play costs just as much a regular prime cab par aapka sense of humour bahut acha hai humein jaldi pata lag gayaolaplay,0.05,Positive
2165,6 autos quoted over rs100 to drive 3 kms on sarjapur road finally an auto stopped and said book it onand i am now going in rs34,0,Neutral
2166,do you know anyone who could benefit from our olaseniors initiative help enroll them in the program here,0.25,Positive
2167,cofoundersuppos mentorofchange join the innovation revolution with him apply here,0.17,Positive
2168,"mumbai weve panered withto bring you a chance to win a trip to mauritius
details",0.1,Positive
2169,olacredit ftw,0.5,Positive
2170,"thanks for the shout out riya
do let us know about that specific change that you liked the mostolaplay",0.22,Positive
2171,farakpadtahai,0,Neutral
2172,launches ola paner world a sprawling 20000 square feet facility to address the needs of drivers,0,Neutral
2173,good morning mumbaican we please all take a moment to appreciate mydrivers sassy dashboard,0.4,Positive
2174,"what are the issues that matter to the indian youth comingsoon 
farakpadtahai
ps guess the indian in the pic",0,Neutral
2175,bhavish aggarwal co–foundersuppos mentorofchange join the innovation revolution with himapply here,0.12,Positive
2176,when you get an early morning call from overseas and can talk to your heas content without a worry thanks towifi yay,0.071,Positive
2177,"what the farak bothers millennials in indiatakes an ola share ride to find out 
do you agree let us know farakpadtahai",-0.083,Negative
2178,"there are many things that divide us but what the farak bothers us 
 takes an olashare to find out 
farakpadtahai",-0.11,Negative
2179,"live right now

 on howbuilt their progressive web app using polymer

watch 
",0.4,Positive
2180,delhi your olashare rides at flat fares only with share pass now get yours at just 1farakpadtahai,0,Neutral
2181,"join us in theinitiative to empower young innovators across india become a mentorofchange 
apply now",0.18,Positive
2182,happy engineers day krishna,0.25,Positive
2183,"this engineersday lets pay tribute to the greatest engineering marvels of india 
head to one of them in an olaoutstation",0.18,Positive
2184,join me in theinitiative to empower young innovators across india become a mentorofchange apply now,0.18,Positive
2185,"bengaluru reason no 22 to get your share pass
now buy your share pass at just 1 
farakpadtahai",0,Neutral
2186,if you want to share your appreciation tweetpost to us with heroesofola and well ensure she is amply rewarded,0.44,Positive
2187,flagged off ghoomoresponsibly with ola for world tourism day a great campaign raising awareness on sustainable and responsible tourism,0.15,Positive
